consumer_id;order_id;status;payment_method
221;681;Delivered;Cash
219;108;On the way;Card
560;1005;Commit;Cash
760;905;Commit;Cash
1064;58;Delivered;Cash
697;1019;Delivered;Cash
862;822;Delivered;Cash
470;30;On the way;Card
828;348;Commit;Card
827;333;Delivered;Card
603;887;Delivered;Card
1036;379;Delivered;Card
791;745;Delivered;Cash
722;658;On the way;Cash
326;8;Delivered;Card
455;1027;On the way;Card
293;946;Delivered;Cash
860;383;Commit;Cash
400;807;Commit;Cash
898;11;On the way;Cash
878;2;Commit;Card
735;339;Commit;Cash
645;838;On the way;Card
752;992;Delivered;Cash
560;614;On the way;Cash
616;347;Delivered;Card
732;652;Delivered;Card
382;981;Commit;Card
75;811;Delivered;Card
377;820;Commit;Cash
703;1094;Commit;Cash
262;836;Delivered;Card
468;519;Commit;Cash
22;1063;On the way;Card
462;875;Commit;Card
370;516;Commit;Cash
504;808;Delivered;Card
924;830;On the way;Cash
337;366;On the way;Cash
409;545;On the way;Cash
470;503;Delivered;Card
508;821;Delivered;Cash
674;818;On the way;Cash
247;217;Delivered;Cash
529;499;Delivered;Cash
99;419;Delivered;Card
795;17;Commit;Card
518;633;On the way;Cash
13;142;Delivered;Card
338;199;Commit;Card
9;942;Commit;Card
1054;811;Delivered;Card
352;517;Commit;Card
939;153;Commit;Cash
790;39;On the way;Cash
615;586;On the way;Cash
127;552;Commit;Card
596;679;On the way;Cash
459;658;Commit;Cash
578;485;Delivered;Cash
406;691;On the way;Cash
669;410;On the way;Card
1071;460;On the way;Card
90;625;On the way;Card
397;359;Delivered;Card
26;300;Delivered;Card
409;98;Commit;Cash
332;792;On the way;Cash
70;856;On the way;Card
724;171;Commit;Card
743;917;On the way;Cash
683;1023;Commit;Card
121;577;On the way;Cash
846;327;Commit;Cash
786;1085;Commit;Cash
886;269;On the way;Card
594;42;Delivered;Cash
571;1025;Commit;Cash
965;731;Delivered;Cash
43;442;Commit;Cash
212;309;On the way;Cash
451;552;Commit;Cash
755;1066;On the way;Card
726;196;On the way;Cash
348;372;Delivered;Cash
1007;742;On the way;Cash
387;695;Commit;Card
234;256;On the way;Card
592;476;Delivered;Cash
304;474;Delivered;Card
169;247;Commit;Card
388;964;Delivered;Card
289;738;Commit;Cash
342;479;Delivered;Card
657;734;Commit;Cash
