consumer_id;order_id;courier_id;status;payment_method
338;536;437;On the way;Card
589;902;17;Commit;Cash
363;223;412;On the way;Cash
663;835;306;Commit;Card
62;361;547;Commit;Cash
261;543;72;Commit;Cash
183;660;924;Delivered;Cash
845;355;875;Commit;Cash
739;563;770;Delivered;Card
997;469;63;Commit;Cash
798;154;371;On the way;Card
533;463;805;On the way;Cash
136;741;575;Delivered;Cash
580;1083;543;Commit;Card
1;597;823;On the way;Card
481;321;1014;Commit;Cash
1089;777;717;On the way;Card
215;111;855;On the way;Cash
1032;379;419;Delivered;Card
417;874;753;Commit;Card
1070;629;645;On the way;Card
928;541;21;On the way;Card
495;832;250;On the way;Cash
874;215;729;Commit;Card
275;294;40;On the way;Card
1084;448;221;Delivered;Card
890;82;814;On the way;Cash
909;854;26;Commit;Cash
330;541;590;Delivered;Cash
598;10;1068;On the way;Cash
298;110;628;On the way;Cash
416;609;190;On the way;Card
868;608;112;Delivered;Cash
296;191;439;On the way;Cash
901;912;435;Commit;Card
207;386;922;Commit;Cash
789;398;22;Commit;Card
867;95;403;On the way;Card
308;722;1093;Delivered;Card
314;5;334;Delivered;Card
104;330;623;On the way;Cash
386;698;1016;Delivered;Cash
570;247;284;On the way;Cash
65;645;214;Delivered;Cash
14;288;452;Commit;Card
162;833;743;Delivered;Cash
427;413;688;Delivered;Cash
28;579;1010;On the way;Card
336;1036;960;Delivered;Card
871;846;789;Delivered;Cash
1079;421;444;On the way;Cash
1038;304;689;On the way;Card
777;767;168;Commit;Card
1071;455;924;Commit;Card
404;330;1005;Commit;Cash
652;706;235;On the way;Cash
998;203;112;Delivered;Cash
999;986;80;Delivered;Card
613;949;753;On the way;Cash
319;904;504;On the way;Cash
364;355;448;Delivered;Card
597;649;1029;Delivered;Cash
308;25;864;Delivered;Card
523;152;944;Commit;Card
551;405;831;Delivered;Card
977;1038;821;On the way;Card
818;204;31;On the way;Cash
488;29;529;Delivered;Cash
600;1089;1040;Commit;Card
1053;252;1092;Delivered;Cash
860;364;815;On the way;Card
87;567;113;On the way;Cash
1065;293;855;On the way;Card
539;174;1046;Delivered;Cash
446;444;948;Commit;Cash
660;60;588;On the way;Card
1026;313;244;Delivered;Card
1038;153;179;Delivered;Cash
484;408;950;On the way;Card
794;359;265;Delivered;Cash
360;1017;810;Delivered;Cash
977;786;774;Delivered;Cash
830;243;23;Commit;Card
901;826;503;Commit;Card
916;52;443;On the way;Cash
236;150;886;Commit;Cash
795;826;735;Commit;Card
39;964;740;Delivered;Cash
227;600;748;Delivered;Cash
37;743;746;Commit;Cash
772;802;420;Commit;Card
722;523;802;Commit;Card
239;942;414;Commit;Cash
377;996;357;Commit;Cash
731;792;262;Commit;Card
1043;503;999;Delivered;Cash
356;427;328;Commit;Cash
789;845;367;Commit;Card
10;381;80;On the way;Card
1061;289;866;Commit;Cash
124;896;979;Delivered;Cash
463;30;877;Delivered;Cash
155;653;527;On the way;Cash
808;575;899;Commit;Card
184;622;832;On the way;Card
701;1070;386;On the way;Cash
681;888;348;Delivered;Card
186;653;875;Delivered;Card
691;210;1060;Delivered;Card
723;344;250;Delivered;Cash
380;972;571;Commit;Card
223;525;406;Delivered;Cash
856;367;824;Commit;Card
540;1004;89;Commit;Card
897;54;113;Commit;Cash
372;601;1061;Commit;Cash
233;99;654;On the way;Card
211;1033;881;On the way;Cash
863;1096;107;Commit;Card
740;20;68;Commit;Card
801;867;688;On the way;Card
881;205;833;Commit;Cash
548;428;816;Delivered;Cash
524;301;716;On the way;Cash
449;235;486;On the way;Card
1056;1029;315;Commit;Cash
429;413;160;On the way;Cash
355;603;1049;Delivered;Card
547;137;906;On the way;Card
622;1045;753;On the way;Card
99;252;391;Delivered;Cash
298;324;377;On the way;Cash
633;509;936;On the way;Card
944;757;262;Delivered;Cash
522;36;609;Delivered;Card
636;867;317;Delivered;Cash
917;954;693;Delivered;Card
309;313;815;On the way;Card
988;241;451;Delivered;Cash
526;887;631;Delivered;Card
101;275;841;Delivered;Cash
462;1079;523;Delivered;Cash
462;372;504;Commit;Cash
1030;521;1056;Delivered;Cash
5;393;339;Commit;Card
115;554;762;Delivered;Cash
1065;1041;115;On the way;Card
277;56;1006;On the way;Card
581;300;61;On the way;Cash
328;131;341;Commit;Card
624;924;863;Delivered;Card
618;18;993;On the way;Cash
609;1038;244;Commit;Cash
1096;214;441;Delivered;Cash
248;23;800;Delivered;Card
359;354;444;Delivered;Card
204;362;882;Delivered;Card
242;680;246;On the way;Cash
630;720;294;On the way;Cash
834;1093;1089;Delivered;Cash
237;100;1017;On the way;Card
339;60;733;On the way;Cash
696;254;811;Commit;Card
293;265;376;On the way;Card
768;963;273;Commit;Card
1023;377;865;On the way;Cash
607;175;595;On the way;Cash
1020;901;376;On the way;Cash
105;291;119;Delivered;Cash
483;239;988;On the way;Card
162;1095;1035;Delivered;Cash
309;696;371;Delivered;Cash
481;958;117;Delivered;Cash
1081;407;691;On the way;Card
496;454;70;Commit;Card
375;480;982;On the way;Cash
362;119;61;Commit;Cash
390;1037;405;Delivered;Card
21;761;160;Commit;Card
507;524;1012;Delivered;Cash
676;349;671;On the way;Card
234;312;914;Delivered;Cash
116;464;47;Commit;Card
650;73;569;On the way;Cash
861;230;1039;On the way;Cash
334;137;861;Commit;Cash
264;288;526;On the way;Cash
386;605;355;Delivered;Cash
34;361;291;On the way;Cash
68;739;749;Delivered;Cash
221;657;433;Commit;Cash
719;743;582;Delivered;Card
98;590;1074;Commit;Cash
205;534;494;On the way;Cash
