consumer_id;order_id;courier_id;status;payment_method
670;929;986;Commit;Card
872;1015;28;On the way;Cash
668;501;738;Delivered;Card
936;112;339;On the way;Card
583;511;511;Commit;Cash
314;906;477;On the way;Card
473;698;62;Delivered;Cash
795;492;532;Delivered;Cash
352;1009;597;Delivered;Cash
934;247;242;Commit;Cash
614;137;1089;Commit;Cash
421;508;515;Commit;Cash
810;1091;63;Delivered;Card
673;991;400;Commit;Card
451;222;629;Delivered;Cash
123;754;292;Delivered;Cash
271;244;285;Commit;Cash
806;1005;1080;On the way;Cash
879;674;489;Delivered;Cash
1024;148;270;Delivered;Cash
69;221;847;On the way;Card
379;296;142;Commit;Cash
600;559;116;On the way;Cash
30;49;397;Delivered;Card
162;229;9;On the way;Card
903;779;405;Commit;Card
462;173;532;Delivered;Cash
632;4;392;Delivered;Cash
659;203;1090;Delivered;Card
696;486;605;Delivered;Cash
263;369;309;On the way;Card
327;905;215;Commit;Card
722;983;158;On the way;Card
767;652;446;On the way;Cash
1031;610;213;Delivered;Cash
773;720;243;Delivered;Cash
450;546;875;Delivered;Card
877;875;318;Commit;Cash
588;627;434;On the way;Cash
346;185;91;On the way;Card
65;1064;125;On the way;Card
214;958;133;On the way;Cash
749;105;1068;Commit;Card
584;651;605;On the way;Card
820;450;617;Delivered;Cash
984;207;291;Commit;Cash
497;189;273;Commit;Card
1055;865;443;Delivered;Cash
220;840;669;Commit;Card
4;1011;308;Commit;Cash
708;176;754;On the way;Card
469;231;1078;Delivered;Card
163;974;2;Delivered;Card
216;655;514;Commit;Cash
397;216;733;On the way;Card
272;617;451;Delivered;Cash
241;283;151;On the way;Cash
1032;427;654;On the way;Cash
830;651;782;On the way;Cash
818;174;1093;Delivered;Card
952;407;146;Delivered;Cash
443;1033;973;Delivered;Card
862;212;732;On the way;Cash
524;630;72;On the way;Cash
140;992;688;Commit;Cash
597;444;3;On the way;Cash
417;331;280;On the way;Card
1035;627;18;Delivered;Cash
93;1059;645;On the way;Card
132;336;273;Commit;Card
97;429;1044;Commit;Card
211;319;650;On the way;Card
7;1079;646;Commit;Card
543;485;216;Delivered;Card
543;94;328;Delivered;Cash
890;486;751;Commit;Cash
506;844;790;Delivered;Card
614;907;1035;Delivered;Card
727;892;754;Delivered;Cash
288;217;151;Commit;Cash
957;879;1054;On the way;Cash
89;143;1036;Delivered;Cash
739;753;208;Delivered;Cash
92;914;846;Delivered;Card
467;596;516;Commit;Cash
515;838;332;On the way;Card
636;891;162;Delivered;Card
170;996;1075;Delivered;Cash
182;858;481;Commit;Cash
90;665;140;Commit;Card
71;2;1034;Delivered;Cash
865;1030;209;Commit;Cash
856;794;422;On the way;Card
811;698;76;On the way;Cash
109;442;202;On the way;Card
809;978;143;Delivered;Card
683;514;363;On the way;Cash
209;562;1056;Commit;Cash
165;223;528;Delivered;Card
719;146;425;On the way;Cash
741;68;931;On the way;Card
158;4;896;Commit;Card
787;1092;523;Commit;Cash
497;782;21;On the way;Card
12;383;1078;Delivered;Card
177;360;1017;On the way;Cash
321;717;533;Delivered;Cash
830;690;102;On the way;Card
721;658;229;Commit;Cash
1014;528;570;Delivered;Card
597;1017;975;Commit;Cash
917;627;733;Delivered;Card
815;144;893;On the way;Card
512;895;256;Commit;Cash
599;642;815;On the way;Card
786;986;1033;Commit;Card
259;47;722;Delivered;Cash
899;553;268;Delivered;Cash
179;700;654;Commit;Cash
582;145;842;On the way;Cash
776;378;392;On the way;Cash
1087;926;780;Commit;Cash
749;838;435;Delivered;Card
600;317;953;On the way;Cash
315;1068;948;On the way;Card
831;849;553;On the way;Cash
329;611;540;Commit;Cash
426;1075;913;On the way;Card
335;178;873;Commit;Cash
470;381;95;Commit;Cash
970;225;452;On the way;Card
673;407;559;On the way;Card
402;538;1091;Delivered;Cash
743;721;513;On the way;Card
917;656;197;Delivered;Cash
412;538;487;On the way;Cash
764;80;534;Delivered;Cash
462;732;341;Delivered;Cash
906;447;784;Commit;Cash
862;727;663;On the way;Cash
225;761;177;On the way;Cash
859;864;1082;On the way;Cash
791;965;8;On the way;Cash
204;412;292;On the way;Card
948;763;935;Commit;Card
872;990;856;Commit;Cash
194;745;784;Delivered;Card
684;699;841;On the way;Cash
1047;68;58;On the way;Card
446;977;39;Commit;Card
641;791;665;On the way;Card
715;656;652;On the way;Cash
494;557;1085;Delivered;Card
861;208;1069;Commit;Card
103;1019;1098;On the way;Card
546;378;182;On the way;Cash
465;614;316;Delivered;Cash
78;1096;144;Commit;Cash
661;913;675;Commit;Card
941;431;1053;Commit;Cash
487;767;398;Commit;Cash
573;902;206;Commit;Card
877;934;126;Delivered;Card
